t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.0006,2026-09-25T14:48:43.405,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.007,30.0,0.0
0.0107,2026-09-25T14:48:43.415,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.004,30.0,0.0
0.0208,2026-09-25T14:48:43.425,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.004,30.0,0.0
0.031,2026-09-25T14:48:43.435,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0411,2026-09-25T14:48:43.445,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0512,2026-09-25T14:48:43.455,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0614,2026-09-25T14:48:43.466,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0716,2026-09-25T14:48:43.476,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0818,2026-09-25T14:48:43.486,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.0919,2026-09-25T14:48:43.496,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.102,2026-09-25T14:48:43.506,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.1123,2026-09-25T14:48:43.516,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.1224,2026-09-25T14:48:43.526,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.1325,2026-09-25T14:48:43.537,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.1426,2026-09-25T14:48:43.547,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.004,30.0,0.0
0.1527,2026-09-25T14:48:43.557,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.023,30.0,0.0
0.1628,2026-09-25T14:48:43.567,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,13.8,5.023,30.0,0.0
0.173,2026-09-25T14:48:43.577,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.1831,2026-09-25T14:48:43.587,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.1932,2026-09-25T14:48:43.597,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2033,2026-09-25T14:48:43.608,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2138,2026-09-25T14:48:43.618,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.224,2026-09-25T14:48:43.628,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2341,2026-09-25T14:48:43.638,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2442,2026-09-25T14:48:43.648,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2543,2026-09-25T14:48:43.658,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2645,2026-09-25T14:48:43.669,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2746,2026-09-25T14:48:43.679,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2848,2026-09-25T14:48:43.689,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.023,30.0,0.0
0.2949,2026-09-25T14:48:43.699,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.305,2026-09-25T14:48:43.710,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3156,2026-09-25T14:48:43.720,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3257,2026-09-25T14:48:43.730,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3358,2026-09-25T14:48:43.740,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3459,2026-09-25T14:48:43.750,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.356,2026-09-25T14:48:43.760,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3661,2026-09-25T14:48:43.770,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3762,2026-09-25T14:48:43.780,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3864,2026-09-25T14:48:43.790,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.3965,2026-09-25T14:48:43.801,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4066,2026-09-25T14:48:43.811,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4171,2026-09-25T14:48:43.821,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4272,2026-09-25T14:48:43.831,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4373,2026-09-25T14:48:43.841,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4474,2026-09-25T14:48:43.851,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4575,2026-09-25T14:48:43.862,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4676,2026-09-25T14:48:43.872,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4777,2026-09-25T14:48:43.882,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.4879,2026-09-25T14:48:43.892,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.498,2026-09-25T14:48:43.902,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.5081,2026-09-25T14:48:43.913,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.5185,2026-09-25T14:48:43.923,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.5286,2026-09-25T14:48:43.933,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.5388,2026-09-25T14:48:43.943,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
