t,mode,phase,target1,target2,actual1,actual2,duty1,duty2,v_batt,a1,a2,ff
0.0,software,tgt=500,500,-500,0.0,0.0,207,-207,13.3,,,
0.0413,software,tgt=500,500,-500,0.0,0.0,219,-219,13.3,,,
0.0623,software,tgt=500,500,-500,0.0,0.0,225,-225,13.3,,,
0.0833,software,tgt=500,500,-500,0.0,0.0,232,-232,13.3,,,
0.104,software,tgt=500,500,-500,0.0,0.0,238,-238,13.3,,,
0.1246,software,tgt=500,500,-500,0.0,0.0,244,-244,13.3,,,
0.1452,software,tgt=500,500,-500,0.0,0.0,250,-250,13.3,,,
0.1658,software,tgt=500,500,-500,0.0,0.0,256,-256,13.3,,,
0.1863,software,tgt=500,500,-500,0.0,0.0,262,-262,13.3,,,
0.2069,software,tgt=500,500,-500,0.0,0.0,269,-269,13.3,,,
0.2276,software,tgt=500,500,-500,0.0,0.0,283,-283,12.6,,,
0.2684,software,tgt=500,500,-500,0.0,0.0,296,-296,12.6,,,
0.2893,software,tgt=500,500,-500,0.0,0.0,302,-302,12.6,,,
0.3102,software,tgt=500,500,-500,0.0,0.0,308,-308,12.6,,,
0.3308,software,tgt=500,500,-500,0.0,0.0,314,-314,12.6,,,
0.3513,software,tgt=500,500,-500,0.0,0.0,321,-321,12.6,,,
0.3718,software,tgt=500,500,-500,0.0,0.0,327,-327,12.6,,,
0.3924,software,tgt=500,500,-500,0.0,0.0,333,-333,12.6,,,
0.4132,software,tgt=500,500,-500,0.0,0.0,339,-339,12.6,,,
0.4341,software,tgt=500,500,-500,0.0,0.0,345,-345,12.6,,,
0.4548,software,tgt=500,500,-500,0.0,0.0,354,-354,12.4,,,
0.4961,software,tgt=500,500,-500,0.0,0.0,367,-367,12.4,,,
0.517,software,tgt=500,500,-500,0.0,0.0,373,-373,12.4,,,
0.5376,software,tgt=500,500,-500,0.0,0.0,379,-379,12.4,,,
0.5585,software,tgt=500,500,-500,0.0,0.0,385,-385,12.4,,,
0.5796,software,tgt=500,500,-500,0.0,0.0,392,-392,12.4,,,
0.6003,software,tgt=500,500,-500,0.0,0.0,398,-398,12.4,,,
0.621,software,tgt=500,500,-500,0.0,0.0,404,-404,12.4,,,
0.6419,software,tgt=500,500,-500,0.0,0.0,410,-410,12.4,,,
0.6628,software,tgt=500,500,-500,0.0,0.0,417,-417,12.4,,,
0.6836,software,tgt=500,500,-500,0.0,0.0,427,-427,12.1,,,
0.7247,software,tgt=500,500,-500,0.0,0.0,439,-439,12.1,,,
0.7455,software,tgt=500,500,-500,0.0,0.0,446,-446,12.1,,,
0.7664,software,tgt=500,500,-500,0.0,0.0,452,-452,12.1,,,
0.7873,software,tgt=500,500,-500,0.0,0.0,458,-458,12.1,,,
0.8081,software,tgt=500,500,-500,0.0,0.0,464,-464,12.1,,,
0.8287,software,tgt=500,500,-500,0.0,0.0,471,-471,12.1,,,
0.8492,software,tgt=500,500,-500,0.0,0.0,477,-477,12.1,,,
0.8696,software,tgt=500,500,-500,0.0,0.0,483,-483,12.1,,,
0.8901,software,tgt=500,500,-500,0.0,0.0,489,-489,12.1,,,
