t,mode,phase,target1,target2,actual1,actual2,duty1,duty2,v_batt,a1,a2,ff
0.0,software,tgt=500,500,-500,0.0,0.0,207,-207,13.3,,,
0.041,software,tgt=500,500,-500,0.0,0.0,219,-219,13.3,,,
0.0616,software,tgt=500,500,-500,56.0,-56.0,219,-219,13.3,,,
0.0823,software,tgt=500,500,-500,638.0,-638.0,159,-159,13.3,,,
0.1028,software,tgt=500,500,-500,662.0,-658.0,154,-155,13.3,,,
0.1234,software,tgt=500,500,-500,620.0,-631.0,157,-156,13.3,,,
0.144,software,tgt=500,500,-500,532.0,-537.0,166,-165,13.3,,,
0.1647,software,tgt=500,500,-500,489.0,-488.0,170,-170,13.3,,,
0.1853,software,tgt=500,500,-500,481.0,-484.0,171,-171,13.3,,,
0.206,software,tgt=500,500,-500,496.0,-500.0,170,-169,13.3,,,
0.2267,software,tgt=500,500,-500,513.0,-510.0,173,-173,12.9,,,
0.2676,software,tgt=500,500,-500,517.0,-515.0,172,-172,12.9,,,
0.2882,software,tgt=500,500,-500,520.0,-517.0,171,-171,12.9,,,
0.3088,software,tgt=500,500,-500,527.0,-524.0,170,-170,12.9,,,
0.3293,software,tgt=500,500,-500,526.0,-525.0,170,-170,12.9,,,
0.3499,software,tgt=500,500,-500,520.0,-522.0,170,-170,12.9,,,
0.3704,software,tgt=500,500,-500,517.0,-520.0,170,-170,12.9,,,
0.3907,software,tgt=500,500,-500,516.0,-519.0,170,-170,12.9,,,
0.4111,software,tgt=500,500,-500,520.0,-519.0,170,-170,12.9,,,
0.4316,software,tgt=500,500,-500,519.0,-518.0,170,-169,12.9,,,
0.4522,software,tgt=500,500,-500,518.0,-519.0,168,-168,13.0,,,
0.4931,software,tgt=500,500,-500,518.0,-515.0,168,-168,13.0,,,
0.5137,software,tgt=500,500,-500,518.0,-514.0,167,-168,13.0,,,
0.5341,software,tgt=500,500,-500,513.0,-513.0,168,-168,13.0,,,
0.5546,software,tgt=500,500,-500,509.0,-514.0,168,-168,13.0,,,
0.5751,software,tgt=500,500,-500,509.0,-514.0,168,-167,13.0,,,
0.5954,software,tgt=500,500,-500,509.0,-511.0,168,-168,13.0,,,
0.6158,software,tgt=500,500,-500,510.0,-511.0,168,-167,13.0,,,
0.6363,software,tgt=500,500,-500,512.0,-509.0,167,-168,13.0,,,
0.6567,software,tgt=500,500,-500,511.0,-510.0,167,-167,13.0,,,
0.6772,software,tgt=500,500,-500,511.0,-510.0,168,-168,12.9,,,
0.7182,software,tgt=500,500,-500,507.0,-510.0,169,-168,12.9,,,
0.7389,software,tgt=500,500,-500,507.0,-508.0,169,-168,12.9,,,
0.7596,software,tgt=500,500,-500,511.0,-511.0,168,-168,12.9,,,
0.7802,software,tgt=500,500,-500,515.0,-513.0,167,-167,12.9,,,
0.801,software,tgt=500,500,-500,512.0,-514.0,168,-167,12.9,,,
0.8217,software,tgt=500,500,-500,511.0,-512.0,168,-167,12.9,,,
0.8423,software,tgt=500,500,-500,509.0,-508.0,168,-168,12.9,,,
0.8631,software,tgt=500,500,-500,510.0,-507.0,167,-168,12.9,,,
0.8842,software,tgt=500,500,-500,514.0,-508.0,167,-167,12.9,,,
0.905,software,tgt=500,500,-500,509.0,-512.0,167,-167,12.9,,,
0.9457,software,tgt=500,500,-500,507.0,-508.0,167,-167,12.9,,,
0.966,software,tgt=500,500,-500,508.0,-508.0,167,-167,12.9,,,
0.9863,software,tgt=500,500,-500,510.0,-508.0,167,-167,12.9,,,
1.007,software,tgt=500,500,-500,508.0,-507.0,167,-167,12.9,,,
1.0277,software,tgt=500,500,-500,507.0,-508.0,167,-167,12.9,,,
1.0483,software,tgt=500,500,-500,508.0,-508.0,167,-167,12.9,,,
1.0688,software,tgt=500,500,-500,507.0,-508.0,167,-166,12.9,,,
1.0894,software,tgt=500,500,-500,507.0,-508.0,167,-166,12.9,,,
1.11,software,tgt=500,500,-500,508.0,-508.0,166,-166,12.9,,,
1.1306,software,tgt=500,500,-500,509.0,-506.0,166,-166,12.9,,,
1.1714,software,tgt=500,500,-500,505.0,-505.0,166,-166,12.9,,,
1.192,software,tgt=500,500,-500,503.0,-505.0,167,-166,12.9,,,
1.2127,software,tgt=500,500,-500,503.0,-505.0,167,-166,12.9,,,
1.2332,software,tgt=500,500,-500,504.0,-505.0,166,-166,12.9,,,
1.2541,software,tgt=500,500,-500,505.0,-505.0,166,-166,12.9,,,
1.2747,software,tgt=500,500,-500,505.0,-505.0,166,-166,12.9,,,
1.2953,software,tgt=500,500,-500,505.0,-505.0,166,-166,12.9,,,
1.316,software,tgt=500,500,-500,502.0,-505.0,166,-166,12.9,,,
1.3365,software,tgt=500,500,-500,505.0,-505.0,166,-166,12.9,,,
1.3572,software,tgt=500,500,-500,506.0,-504.0,165,-165,13.0,,,
