t,seg,target,actual
0.15180206500008353,0,0.3,0.0
0.1824476349993347,0,0.3,0.0
0.21300955600054294,0,0.3,0.005792963318526745
0.2435642540003755,0,0.3,0.0925423875451088
0.274176136999813,0,0.3,0.23709234595298767
0.32117973499953223,0,0.3,0.2776626646518707
0.4021866000002774,0,0.3,0.34722739458084106
0.4409224860009999,0,0.3,0.3819957673549652
0.5219500330003939,0,0.3,0.3702741265296936
0.5611049180006376,0,0.3,0.266329288482666
0.6420717060009338,0,0.3,0.3008943498134613
0.6812330150005437,0,0.3,0.27186280488967896
0.7622587919995567,0,0.3,0.31241708993911743
0.8009230869993189,0,0.3,0.3534937798976898
0.8819199680001475,0,0.3,0.38801321387290955
0.921223770999859,0,0.3,0.3475714921951294
1.0022219399997994,0,0.3,0.37662482261657715
1.0412951479993353,0,0.3,0.3331463932991028
1.1226379969994014,0,0.3,0.2951504588127136
1.1611186739992263,0,0.3,0.2548121213912964
1.242573851999623,0,0.3,0.30113130807876587
1.2810258789995714,0,0.3,0.26627275347709656
1.3619313729996065,0,0.3,0.38499778509140015
1.4010580829999526,0,0.3,0.34740760922431946
1.482001444999696,0,0.3,0.3762478828430176
1.521134095000889,0,0.3,0.33002957701683044
1.6021468750004715,0,0.3,0.37046679854393005
1.6411215480002284,0,0.3,0.24886241555213928
1.7221246150002116,0,0.3,0.28358402848243713
1.7612489879993518,0,0.3,0.26041096448898315
1.842262648000542,0,0.3,0.30109933018684387
1.8810965409993514,0,0.3,0.3415730595588684
1.9621217389994854,0,0.3,0.3444164991378784
2.001378537999699,0,0.3,0.3357105255126953
2.082519546000185,0,0.3,0.3706687092781067
2.121125891999327,0,0.3,0.32989761233329773
2.2021224759992037,0,0.3,0.283733606338501
2.241169393000746,0,0.3,0.28373533487319946
2.3222789259998535,0,0.3,0.29242128133773804
2.3611169979994884,0,0.3,0.2546948790550232
2.4423457739994774,0,0.3,0.33297938108444214
2.4812817239999276,0,0.3,0.3388184905052185
2.562806357000227,1,0.6,0.3359503149986267
2.6012030679994496,1,0.6,0.35324999690055847
2.682498767000652,1,0.6,0.4889388084411621
2.7208796220002114,1,0.6,0.46307286620140076
2.8017630190006457,1,0.6,0.5554259419441223
2.841166747999523,1,0.6,0.6016931533813477
2.9226137210007437,1,0.6,0.6712508797645569
2.961177907000092,1,0.6,0.7354375720024109
3.042450815000848,1,0.6,0.7294498682022095
3.0812269729995023,1,0.6,0.703065037727356
3.1622865360004653,1,0.6,0.6946142315864563
3.2010095229998115,1,0.6,0.6888030171394348
3.2819789269997273,1,0.6,0.6075820326805115
3.3210411029995157,1,0.6,0.6045289039611816
3.4020308300005127,1,0.6,0.6166723966598511
3.441151193999758,1,0.6,0.6195248961448669
3.5221694859992567,1,0.6,0.6947963833808899
3.561073930999555,1,0.6,0.6974585056304932
3.642103913000028,1,0.6,0.6916891932487488
3.68124369600082,1,0.6,0.6771075129508972
3.7622730570001295,1,0.6,0.6769721508026123
3.801004984999963,1,0.6,0.6020545363426208
3.8820202269998845,1,0.6,0.518358588218689
3.921275565000542,1,0.6,0.6017676591873169
4.0022958440004,1,0.6,0.6168153882026672
4.041007867999724,1,0.6,0.7704388499259949
4.121959346999574,1,0.6,0.6889957189559937
4.160924804000388,1,0.6,0.7470770478248596
4.241950621999422,1,0.6,0.6666072010993958
4.281069512000613,1,0.6,0.6574567556381226
4.362059057999431,1,0.6,0.5035887956619263
4.4010557450001215,1,0.6,0.585252583026886
4.482480957000007,1,0.6,0.5269824266433716
4.52136546499969,1,0.6,0.6048828959465027
4.602371459999631,1,0.6,0.6896849870681763
4.64114211299966,1,0.6,0.7588759660720825
4.722079511000629,1,0.6,0.6716457009315491
4.760973761000059,1,0.6,0.7297616600990295
4.841972371999873,1,0.6,0.6518187522888184
4.881035697999323,1,0.6,0.5727975368499756
4.962096110000857,1,0.6,0.5038098096847534
5.001320108000073,1,0.6,0.584322452545166
5.082248935999814,2,0.9,0.5265868306159973
5.120992436999586,2,0.9,0.8132228851318359
5.201996088999294,2,0.9,0.7844445109367371
5.2410077810000075,2,0.9,0.9291022419929504
5.321809008000855,2,0.9,0.8917303085327148
5.361114911000186,2,0.9,1.0365031957626343
5.4420516549998865,2,0.9,0.7871374487876892
5.481129678999423,2,0.9,0.8945351839065552
5.562165798999558,2,0.9,0.7878380417823792
5.601091835000261,2,0.9,0.9064122438430786
5.682143632000589,2,0.9,1.0269126892089844
5.721118592000494,2,0.9,1.0303205251693726
5.802169893999235,2,0.9,1.009873390197754
5.841243562999807,2,0.9,1.110169529914856
5.92226459000085,2,0.9,0.9891295433044434
5.9610987689993635,2,0.9,0.8654017448425293
