t,wall,phase,label,cmd1,cmd2,cb1,cb2,bs1,bs2,a1,a2,ba1,ba2,v_batt,v_int,v_5v,t_mcu,ff
0.3764,2026-09-25T14:44:55.519,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.3865,2026-09-25T14:44:55.529,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.3966,2026-09-25T14:44:55.539,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.4067,2026-09-25T14:44:55.549,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.4171,2026-09-25T14:44:55.559,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.4272,2026-09-25T14:44:55.570,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.01,30.0,0.0
0.4373,2026-09-25T14:44:55.580,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.4474,2026-09-25T14:44:55.590,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.4575,2026-09-25T14:44:55.600,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.4676,2026-09-25T14:44:55.610,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.4777,2026-09-25T14:44:55.620,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.4878,2026-09-25T14:44:55.630,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.498,2026-09-25T14:44:55.640,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5081,2026-09-25T14:44:55.651,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5185,2026-09-25T14:44:55.661,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5286,2026-09-25T14:44:55.671,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5387,2026-09-25T14:44:55.681,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5488,2026-09-25T14:44:55.691,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5589,2026-09-25T14:44:55.701,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.569,2026-09-25T14:44:55.711,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.022,30.0,0.0
0.5791,2026-09-25T14:44:55.721,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
0.5892,2026-09-25T14:44:55.732,idle,idle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,13.3,13.8,5.013,30.0,0.0
