t,seg,target,actual
0.15169026699913957,0,0.3,0.0
0.1820951919999061,0,0.3,0.0
0.21250897500067367,0,0.3,0.0
0.24317809400054102,0,0.3,0.029068130999803543
0.273767021999447,0,0.3,0.1135435700416565
0.3042986469990865,0,0.3,0.15198935568332672
0.334716297000341,0,0.3,0.23232154548168182
0.41582917400046426,0,0.3,0.2735019028186798
0.4465357169992785,0,0.3,0.3261941373348236
0.49351752400070836,0,0.3,0.3217196464538574
0.5747712989996216,0,0.3,0.32505542039871216
0.6054697689996829,0,0.3,0.32558202743530273
0.6867821680007182,0,0.3,0.32541710138320923
0.7177401080007257,0,0.3,0.32527685165405273
0.7635595760002616,0,0.3,0.2870649993419647
0.8449380120000569,0,0.3,0.32484501600265503
0.8756578100001207,0,0.3,0.28613466024398804
0.9258133759994962,0,0.3,0.32519516348838806
1.0067392220007605,0,0.3,0.2855302691459656
1.0372969250001915,0,0.3,0.3211149275302887
1.087929412999074,0,0.3,0.28307995200157166
1.1487688790002721,0,0.3,0.32044193148612976
1.1962885850007297,0,0.3,0.32434552907943726
1.2773298199990677,0,0.3,0.3213212192058563
1.3078800450002745,0,0.3,0.32756292819976807
1.3576876080005604,0,0.3,0.32461270689964294
1.4386877920005645,0,0.3,0.3284132778644562
1.4691838300004747,0,0.3,0.283176988363266
1.550222013000166,0,0.3,0.3268565535545349
1.580615458999091,0,0.3,0.2822585105895996
1.6277348900002835,0,0.3,0.32784175872802734
1.70877139500044,0,0.3,0.28240710496902466
1.7392847200007964,0,0.3,0.3238934874534607
1.8203008469990891,0,0.3,0.32243579626083374
1.8508442669990472,0,0.3,0.32511433959007263
1.8980537360002927,0,0.3,0.321993350982666
1.9790548300006776,0,0.3,0.3221549987792969
2.0096126120006375,0,0.3,0.32582202553749084
2.0601803789995756,0,0.3,0.28345316648483276
2.1210329459991044,0,0.3,0.3261767327785492
2.1682961669994256,0,0.3,0.28345102071762085
2.249270603999321,0,0.3,0.32889851927757263
2.2798775709998154,0,0.3,0.28374865651130676
2.3610433819994796,0,0.3,0.32713016867637634
2.3914920879997226,0,0.3,0.3238099217414856
2.438404530999833,0,0.3,0.32751530408859253
2.519527704000211,1,0.6,0.3236061632633209
2.55006556599983,1,0.6,0.32730844616889954
2.6001949410001544,1,0.6,0.39290380477905273
2.681533454999226,1,0.6,0.3979499340057373
2.7123093560003326,1,0.6,0.5275790095329285
2.793526915000257,1,0.6,0.5302785634994507
2.824045039000339,1,0.6,0.6592668890953064
2.870293848000074,1,0.6,0.5991495847702026
2.9512234899993928,1,0.6,0.6833537817001343
2.98175709699899,1,0.6,0.5943254232406616
3.0627092710001307,1,0.6,0.6848381161689758
3.093251550999412,1,0.6,0.6800808906555176
3.140778605999003,1,0.6,0.6770743727684021
3.2216990100005205,1,0.6,0.6813864707946777
3.252194556000177,1,0.6,0.681838870048523
3.30283522299942,1,0.6,0.6827580332756042
3.363629106999724,1,0.6,0.6003304719924927
3.411316588999398,1,0.6,0.6832724809646606
3.4922081860004255,1,0.6,0.5967479944229126
3.5227399920004245,1,0.6,0.6838443279266357
3.5733434350004245,1,0.6,0.5927838087081909
3.6342911470001127,1,0.6,0.6780439615249634
3.680929553000169,1,0.6,0.6830138564109802
3.7620034979991033,1,0.6,0.6813791394233704
3.7925463409992517,1,0.6,0.6821764707565308
3.8736226460005128,1,0.6,0.6824458241462708
3.9040958320001664,1,0.6,0.6867913007736206
3.9508761950000917,1,0.6,0.5987558960914612
4.031794979000551,1,0.6,0.6835396885871887
4.062383844999204,1,0.6,0.596998929977417
4.143286675000127,1,0.6,0.6844474673271179
4.1737069789996895,1,0.6,0.5979636907577515
4.2207335740004055,1,0.6,0.5134503245353699
4.301760529000603,1,0.6,0.680071234703064
4.3322751029991196,1,0.6,0.6787490248680115
4.413313549999657,1,0.6,0.6785710453987122
4.443776539999817,1,0.6,0.677821159362793
4.491030404000412,1,0.6,0.8510532379150391
4.57195844799935,1,0.6,0.5996333360671997
4.602506537999943,1,0.6,0.6873387098312378
4.683372629000587,1,0.6,0.5994271039962769
4.713899795000543,1,0.6,0.6875120997428894
4.761130540000522,1,0.6,0.5987116098403931
4.842186485000639,1,0.6,0.6860436201095581
4.872709744999156,1,0.6,0.5979582071304321
4.953782521999528,1,0.6,0.6854680776596069
4.984368139999788,1,0.6,0.6805798411369324
5.031414765000591,1,0.6,0.6807578802108765
5.112450962998992,2,0.9,0.6844685673713684
5.143007066000791,2,0.9,0.7135236859321594
5.193718679000085,2,0.9,0.797577440738678
5.254558168000585,2,0.9,0.7572787404060364
5.302149863000523,2,0.9,0.9229744076728821
5.38320576300066,2,0.9,0.872479259967804
5.413734800000384,2,0.9,1.0176057815551758
5.46415302800051,2,0.9,0.890913188457489
5.5452033759993355,2,0.9,1.0191123485565186
5.575686518999646,2,0.9,1.020171880722046
5.625972727999397,2,0.9,1.022088885307312
5.706889432000025,2,0.9,1.020366907119751
5.737451294000493,2,0.9,1.0201536417007446
5.818493802000376,2,0.9,1.0205888748168945
5.849065211999914,2,0.9,0.8952494859695435
5.895383560000482,2,0.9,1.0230398178100586
5.976385490999746,2,0.9,0.8957099914550781
6.006905034999363,2,0.9,1.0241246223449707
6.088312088000748,2,0.9,0.8940005302429199
6.118951230999301,2,0.9,1.0249567031860352
6.166082465000727,2,0.9,1.0213044881820679
6.2472076009999,2,0.9,1.021928310394287
6.277766604000135,2,0.9,1.0180705785751343
6.358786968999993,2,0.9,1.0182849168777466
6.389335633999508,2,0.9,1.021500587463379
6.436165514000095,2,0.9,0.8973444700241089
6.517170330000226,2,0.9,1.0280784368515015
6.547740359999807,2,0.9,0.8982521891593933
6.598463234999144,2,0.9,1.025182843208313
6.6592894200002775,2,0.9,0.8941819071769714
6.706147827000677,2,0.9,1.0232058763504028
6.78727624000021,2,0.9,0.8918447494506836
6.817795377999573,2,0.9,1.025784969329834
6.898804119999113,2,0.9,1.0237575769424438
6.929391690000557,2,0.9,1.0237176418304443
6.976298853000117,2,0.9,1.0256520509719849
7.057147391999024,2,0.9,1.0224858522415161
7.087667939000312,2,0.9,1.0222499370574951
7.168692410999938,2,0.9,0.8939857482910156
7.199183484999594,2,0.9,1.0261203050613403
7.246659299000385,2,0.9,0.8948874473571777
7.327670713999396,2,0.9,1.0240752696990967
7.358216822000031,2,0.9,0.8952539563179016
7.439169535000474,2,0.9,1.0281989574432373
7.469759256000543,2,0.9,1.0253703594207764
7.516774313999122,2,0.9,1.0260088443756104
7.59801800599962,3,0.6,1.0275156497955322
7.6285174029999325,3,0.6,1.0298932790756226
7.709533343999283,3,0.6,0.9712182283401489
7.740024729999277,3,0.6,0.8001748919487
7.787554950999038,3,0.6,0.8428872227668762
7.868608191000021,3,0.6,0.6788686513900757
7.899201628999435,3,0.6,0.7222651839256287
7.949470142999417,3,0.6,0.6063555479049683
8.030512166000335,3,0.6,0.7013312578201294
8.061052093999024,3,0.6,0.7009804844856262
8.11106128999927,3,0.6,0.6968516111373901
8.192132398999092,3,0.6,0.6962279677391052
8.222619895999742,3,0.6,0.701433002948761
8.303670560000683,3,0.6,0.6926928758621216
8.334273153999675,3,0.6,0.6087151765823364
8.381679824999082,3,0.6,0.6969607472419739
