t,phase,cmd_lin,cmd_ang,odom_v,odom_w,filt_v,filt_w,imu_yaw,amcl_x,amcl_y,amcl_yaw,v_batt,a1,a2,ba1,ba2,rpm1,rpm2,ff
2.3786,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.4289,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.48,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.5307,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.5813,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
2.6318,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.6823,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.7332,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.7839,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.8344,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.8851,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.9356,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
2.9868,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.0374,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.0881,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.1386,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.189,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.2402,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.291,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.3414,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.2,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.3918,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,0.0,0.0,0.0,0.0,0
3.4421,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,0.0,0.0,0.0,0.0,0
3.493,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,0.0,0.0,0.0,0.0,0
3.5435,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,0.0,0.0,0.0,0.0,0
3.594,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,0.0,0.0,0.0,0.0,0
3.6444,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.6948,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.7457,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.7962,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.8468,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,0.0,0.0,-0.1,0.0,0.0,0.0,0
3.8972,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
3.9475,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
3.9984,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.049,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.0995,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
4.1502,idle,0.0,0.0,0.0,0.0,-0.0,0.0,2.0588,,,0.0,13.3,-0.1,0.0,-0.1,0.0,0.0,0.0,0
