t,x,y,v,w,rpm1,rpm2,ff,V
3.987,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
3.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
3.996,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.046,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.056,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.106,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.116,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.166,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.176,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.226,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.236,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.237,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.287,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.296,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.296,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.346,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.356,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.356,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.406,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.416,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.466,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.476,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.477,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.527,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.536,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.587,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.596,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.1
4.596,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.646,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.656,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.706,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.716,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.716,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.766,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.776,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.776,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.827,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.836,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.837,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.887,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.896,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.896,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.946,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.956,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
4.956,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.006,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.016,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.016,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.066,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.076,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.076,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.127,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.137,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.137,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.188,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.196,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.196,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.246,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.256,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.256,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.306,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.316,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.316,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.366,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.376,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.426,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.436,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.436,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.486,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.496,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.546,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.556,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.556,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.607,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.616,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.616,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.666,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.676,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.676,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.726,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.736,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.736,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.786,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.795,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,9.0
5.796,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.846,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.856,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.857,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.907,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.917,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.917,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.968,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.976,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
5.977,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.027,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.036,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.036,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.086,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.096,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.096,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.146,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.156,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.156,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.206,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.218,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.219,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
6.269,-6.9459,-4.2258,0.0,0.0,0.0,0.0,16,8.9
